れている,<ruby>論文<rt>ろんぶん</rt></ruby>が<ruby>執筆<rt>しっぴつ</rt></ruby>されている。,The thesis is being diligently written.,<ruby>報告書<rt>ほうこくしょ</rt></ruby>が<ruby>提出<rt>ていしゅつ</rt></ruby>されている。,The report is being submitted.,Indicates a passive action in progress often with an ongoing or continuous nuance.
に〜れた,<ruby>上司<rt>じょうし</rt></ruby>に<ruby>叱責<rt>しっせき</rt></ruby>された。,I was reprimanded by my boss.,<ruby>同僚<rt>どうりょう</rt></ruby>に<ruby>嘲笑<rt>ちょうしょう</rt></ruby>された。,I was ridiculed by my colleague.,"Expresses an action done by someone/something (marked by に) that affects the speaker, often negatively."
せてください,<ruby>退室<rt>たいしつ</rt></ruby>させてください。,Please allow me to leave the room.,<ruby>入<rt>はい</rt></ruby>らせてください。,Please let me enter.,A polite request to be allowed to perform an action (causative form + ください for politeness).
ないと,<ruby>予算<rt>よさん</rt></ruby>を<ruby>見直<rt>みなお</rt></ruby>さないと。,I must reassess the budget.,<ruby>会議<rt>かいぎ</rt></ruby>に<ruby>出席<rt>しゅっせき</rt></ruby>しないと。,I need to attend the meeting.,"Shortened form of しないといけない, expressing necessity or obligation to perform an action."
ちゃった,<ruby>機密<rt>きみつ</rt></ruby><ruby>情報<rt>じょうほう</rt></ruby>を<ruby>漏<rt>も</rt></ruby>らしちゃった。,I inadvertently leaked confidential information.,<ruby>貴重<rt>きちょう</rt></ruby>な<ruby>機会<rt>きかい</rt></ruby>を<ruby>逃<rt>のが</rt></ruby>しちゃった。,I regrettably missed a valuable opportunity.,"Contraction of てしまった, indicating an action completed unintentionally or regrettably."
とく,<ruby>指示<rt>しじ</rt></ruby>を<ruby>記録<rt>きろく</rt></ruby>しとく。,I’ll record the instructions in advance.,<ruby>荷物<rt>にもつ</rt></ruby>を<ruby>置<rt>お</rt></ruby>いとく。,I’ll leave the luggage here beforehand.,"Shortened form of ておく, indicating an action done in preparation or to leave as is for later."
みたいだ,<ruby>雲<rt>くも</rt></ruby>が<ruby>綿菓子<rt>わたがし</rt></ruby>みたいだ。,The clouds look like cotton candy.,<ruby>彼<rt>かれ</rt></ruby>の<ruby>態度<rt>たいど</rt></ruby>が<ruby>子供<rt>こども</rt></ruby>みたいだ。,His attitude seems childish.,Indicates something resembles or appears like another thing often based on observation or impression.
らしい,<ruby>祭<rt>まつり</rt></ruby>らしい<ruby>賑<rt>にぎ</rt></ruby>わいが<ruby>聞<rt>き</rt></ruby>こえる。,I can hear the festive liveliness typical of a festival.,<ruby>学者<rt>がくしゃ</rt></ruby>らしい<ruby>洞察<rt>どうさつ</rt></ruby>を<ruby>披露<rt>ひろう</rt></ruby>した。,He presented insights characteristic of a scholar.,Expresses a quality or behavior typical of something or someone often with a sense of hearsay or judgment.
っぽい,<ruby>芸術<rt>げいじゅつ</rt></ruby>っぽい<ruby>雰囲気<rt>ふんいき</rt></ruby>が<ruby>漂<rt>ただよ</rt></ruby>う。,An artistic atmosphere pervades the place.,<ruby>緊張<rt>きんちょう</rt></ruby>っぽい<ruby>表情<rt>ひょうじょう</rt></ruby>を<ruby>浮<rt>う</rt></ruby>かべた。,She wore a tense-looking expression.,Describes something that has a certain quality or tendency often with a casual or subjective tone.
ようにしましょう,<ruby>健康<rt>けんこう</rt></ruby>を<ruby>維持<rt>いじ</rt></ruby>するようにしましょう。,Let’s strive to maintain our health.,<ruby>時間<rt>じかん</rt></ruby>を<ruby>無駄<rt>むだ</rt></ruby>にしないようにしましょう。,Let’s make an effort not to waste time.,Expresses a suggestion or resolution to do something often with a sense of purpose or precaution.
